ASX code,Company name,Security type,ISIN code
ACEAG,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.3C,AU0000ACEAG6
ACEAI,ADVANCED ENGINE,OPTION EXPIRING 31-DEC-2010 EX 20C,AU0000ACEAI2
ACEAK,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.4C,AU0000ACEAK8
ACEAM,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 6C,AU0000ACEAM4
ACEAO,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.5C,AU0000ACEAO0
ACEAQ,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5C,AU0000ACEAQ5
ACEAS,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 5.9C,AU0000ACEAS1
ACEAU,ADVANCED ENGINE,OPTION EXPIRING 31-DEC-2010 EX 18C,AU0000ACEAU7
ACEAW,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 4.4C,AU0000ACEAW3
ACEAY,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 4.7C,AU0000ACEAY9
ACEAZ,ADVANCED ENGINE,OPTION EXPIRING 30-NOV-2011 EX 4.3C,AU0000ACEAZ6
ASW,ADVANCED SHARE LTD,ORDINARY FULLY PAID,AU000000ASW9
A88,ADVANCETC LIMITED,NSX - ORDINARY FULLY PAID,AU000000A880
ADX,ADX ENERGY LTD,ORDINARY FULLY PAID,AU000000ADX9
ADXAI,ADX ENERGY LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ADXAI0
AED,AED OIL LIMITED,ORDINARY FULLY PAID,AU000000AED9
AEDAI,AED OIL LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AEDAI0
AEDAK,AED OIL LIMITED,CONVERTIBLE NOTE MATURING VARIOUS DATES,AU0000AEDAK6
AER,AEERIS LTD,ORDINARY FULLY PAID,AU000000AER9
AERXBB,AEERIS LTD,BOOKBUILD,AU000AERXBB0
AQR,AEON METALS LTD,ORDINARY FULLY PAID,AU000000AQR3
AQRAI,AEON METALS LTD,OPTION EXPIRING 09-NOV-2014 EX 15C,AU0000AQRAI4
AQRAK,AEON METALS LTD,OPTION EXPIRING 08-FEB-2016 EX 12.5C,AU0000AQRAK0
AQRAM,AEON METALS LTD,OPTION EXPIRING 17-JUN-2017 EX 15.81C,AU0000AQRAM6
AEI,AERIS ENVIRONMENTAL,ORDINARY FULLY PAID,AU000000AEI8
AEIAB,AERIS ENVIRONMENTAL,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AEIAB4
AFJ,AFFINITY EDU GRP LTD,ORDINARY FULLY PAID,AU000000AFJ3
AFJAI,AFFINITY EDU GRP LTD,ORDINARY FULLY PAID DEFERRED,AU0000AFJAI4
ACJ,AFRICAN CHROME FIELD,ORDINARY FULLY PAID,AU000000ACJ0
ACJDA,AFRICAN CHROME FIELD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000ACJDA2
ACJAK,AFRICAN CHROME FIELD,OPTION EXPIRING 31-DEC-2016 EX 0.5C,AU0000ACJAK7
ACJAM,AFRICAN CHROME FIELD,OPTION EXPIRING 18-AUG-2015 EX 3C,AU0000ACJAM3
ACJAI,AFRICAN CHROME FIELD,OPTION EXPIRING 31-DEC-2015 EX 1C,AU0000ACJAI1
AFR,AFRICAN ENERGY RES,CHESS DEPOSITARY INTERESTS 1:1,AU000000AFR6
AFRN,AFRICAN ENERGY RES,CHESS DEPOSITARY INTERESTS DEFERRED,AU00000AFRN4
AFRNA,AFRICAN ENERGY RES,CHESS DEPOSITARY INTERESTS 1:1 DEFERRED,AU0000AFRNA7
AFRAA,AFRICAN ENERGY RES,OPTION EXPIRING 31-DEC-2015 EX 15C,AU0000AFRAA4
AFRAB,AFRICAN ENERGY RES,OPTION EXPIRING 27-NOV-2017 EX 10C,AU0000AFRAB2
AFRAI,AFRICAN ENERGY RES,PERFORMANCE RIGHT,AU0000AFRAI7
AFT,AFT CORPORATION,ORDINARY FULLY PAID,AU000000AFT2
AHA,AG FINANCIAL,ORDINARY FULLY PAID,AU000000AHA8
AHAR,AG FINANCIAL,RIGHTS - APPLICATIONS CLOSE 04-JUL-2013,AU00000AHAR7
AGX,AGENIX LIMITED,ORDINARY FULLY PAID,AU000000AGX2
AGXO,AGENIX LIMITED,OPTION EXPIRING 30-JUN-2015,AU00000AGXO8
AGXAK,AGENIX LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AGXAK9
AGL,AGL ENERGY LIMITED.,ORDINARY FULLY PAID,AU000000AGL7
AGLNA,AGL ENERGY LIMITED.,ORDINARY FULLY PAID DEFERRED,AU0000AGLNA8
AGLRA,AGL ENERGY LIMITED.,RIGHTS-APPS CLOSE 15-SEP-2014 US PROHIBITED,AU0000AGLRA9
AGLHA,AGL ENERGY LIMITED.,UNSECURED SUBORDINATED FRN MATURING 08-JUN-2039,AU0000AGLHA0
AG1,AGL OPTION/BASKET,AGL - OPTIONS OVER BASKET,AU000000AG10
AG2,AGL OPTION/BASKET.,AGL - OPTIONS OVER BASKET,AU000000AG28
AGH,AGRI-TRADE HOLD LTD,ORDINARY FULLY PAID,AU000000AGH5
AGHN,AGRI-TRADE HOLD LTD,ORDINARY FULLY PAID DEFERRED,AU00000AGHN3
AGJ,AGRICULTURAL LAND,ORDINARY UNITS FULLY PAID,AU000000AGJ1
AGJN,AGRICULTURAL LAND,ORDINARY UNITS FULLY PAID DEFERRED,AU00000AGJN9
AMN,AGRIMIN LTD,ORDINARY FULLY PAID,AU000000AMN1
AMNOA,AGRIMIN LTD,OPTION EXPIRING 31-DEC-2015,AU0000AMNOA0
AMNAN,AGRIMIN LTD,PERFORMANCE SHARE RIGHTS,AU0000AMNAN2
AMNAO,AGRIMIN LTD,OPTION EXPIRING 06-JUN-2015 EX 12C,AU0000AMNAO0
AGR,AGUIA RES LTD,ORDINARY FULLY PAID,AU000000AGR4
AGRN,AGUIA RES LTD,ORDINARY FULLY PAID DEFERRED,AU00000AGRN2
AGRAU,AGUIA RES LTD,PERFORMANCE SHARES,AU0000AGRAU0
AGRAE,AGUIA RES LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AGRAE4
AI1,AIG INC (NYSE),AMERICAN INTERNATIONAL GROUP INC (NYSE),AU000000AI18
ENY,AII200ENERGY,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000ENY8
FIN,AII200FINANCIALS,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000FIN8
FIX,AII200FINXAREIT,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000FIX7
IDD,AII200INDUSTRIALS,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000IDD4
RSR,AII200RESOURCES,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000RSR3
MAM,AII300METALS&MINING,EXCHANGE TRADED FUND UNITS FULLY PAID,AU000000MAM3
APW,AIMS PROR SEC FUND,ORDINARY UNITS FULLY PAID,AU000000APW5
AGI,AINSWORTH GAME TECH.,ORDINARY FULLY PAID,AU000000AGI3
AGIAI,AINSWORTH GAME TECH.,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AGIAI4
AGIAK,AINSWORTH GAME TECH.,PERFORMANCE RIGHTS,AU0000AGIAK0
AHJ,AIR CHANGE INT LTD,ORDINARY FULLY PAID,AU000000AHJ9
AHJAI,AIR CHANGE INT LTD,OPTION EXPIRING 19-APR-2014 EX 80C,AU0000AHJAI0
AIZ,AIR NEW ZEALAND,ORDINARY FULLY PAID,NZAIRE0001S2
AIZAK,AIR NEW ZEALAND,KIWI SHARE,AU0000AIZAK0
AIZAM,AIR NEW ZEALAND,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AIZAM6
AIZAN,AIR NEW ZEALAND,PERFORMANCE RIGHTS,AU0000AIZAN4
AIZAI,AIR NEW ZEALAND,OPTION EXPIRING VARIOUS DATES CFO EX VAR.PRICES,AU0000AIZAI4
AJL,AJ LUCAS GROUP,ORDINARY FULLY PAID,AU000000AJL1
AJLAO,AJ LUCAS GROUP,OPTION EXPIRING 22-DEC-2015 EX VARIOUS PRICES,AU0000AJLAO0
AJLAQ,AJ LUCAS GROUP,OPTION EXPIRING 22-DEC-2016 EX $2.13,AU0000AJLAQ5
AJLAI,AJ LUCAS GROUP,OPTION EXPIRING 07-DEC-2015 EX $1.35,AU0000AJLAI2
AJLAS,AJ LUCAS GROUP,OPTION EXPIRING 07-DEC-2015 EX $1.35,AU0000AJLAS1
AJLAM,AJ LUCAS GROUP,ORDINARY FULLY PAID DEFERRED,AU0000AJLAM4
AQG,ALACER GOLD CORP.,CHESS DEPOSITARY INTERESTS 1:1,AU000000AQG6
AQGAI,ALACER GOLD CORP.,COMMON SHARES,AU0000AQGAI7
AQGAM,ALACER GOLD CORP.,RESTRICTED STOCK UNITS,AU0000AQGAM9
AQGAO,ALACER GOLD CORP.,DEFERRED STOCK UNITS,AU0000AQGAO5
AUQ,ALARA RESOURCES LTD,ORDINARY FULLY PAID,AU000000AUQ7
AUQAM,ALARA RESOURCES LTD,OPTION EXPIRING 15-JAN-2016 EX VARIOUS PRICES,AU0000AUQAM0
AUQAU,ALARA RESOURCES LTD,OPTION EXPIRING 21-NOV-2016 EX VARIOUS PRICES,AU0000AUQAU3
AUQAS,ALARA RESOURCES LTD,OPTION EXPIRING 22-AUG-2015 EX 35C,AU0000AUQAS7
ACL,ALCHEMIA LIMITED,ORDINARY FULLY PAID,AU000000ACL6
ACLAK,ALCHEMIA LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACLAK3
ALY,ALCHEMY RESOURCE LTD,ORDINARY FULLY PAID,AU000000ALY0
ALYAN,ALCHEMY RESOURCE LTD,OPTION EXPIRING 31-OCT-2017 EX VARIOUS PRICES,AU0000ALYAN1
ALYAM,ALCHEMY RESOURCE LTD,OPTION EXPIRING 30-APR-2015 EX 40C,AU0000ALYAM3
AL1,ALCOA,ALCOA INC (AA) (NYSE),AU000000AL13
AAI,ALCOA INC.,CHESS DEPOSITARY INTERESTS 1:1,AU000000AAI6
AAIAI,ALCOA INC.,SERIAL PREFERRED STOCK,AU0000AAIAI7
AYN,ALCYONE RES LTD,ORDINARY FULLY PAID,AU000000AYN6
AYNO,ALCYONE RES LTD,OPTION EXPIRING 14-MAY-2015,AU00000AYNO2
AYNOA,ALCYONE RES LTD,OPTION EXPIRING 31-JUL-2015,AU0000AYNOA5
AYNAB,ALCYONE RES LTD,PERFORMANCE RIGHT,AU0000AYNAB2
AYNAI,ALCYONE RES LTD,OPTION EXPIRING 26-FEB-2016 EX 4.96C,AU0000AYNAI7
AYNAK,ALCYONE RES LTD,OPTION EXPIRING 31-AUG-2015 EX 15C,AU0000AYNAK3
AYNAO,ALCYONE RES LTD,PERFORMANCE RIGHTS EXPIRING 29-NOV-2015,AU0000AYNAO5
AYNAW,ALCYONE RES LTD,PERFORMANCE RIGHT EXPIRING 15-JUL-2014,AU0000AYNAW8
AYNAY,ALCYONE RES LTD,OPTION EXPIRING 14-AUG-2018 EX 0.64C,AU0000AYNAY4
AYNAZ,ALCYONE RES LTD,OPTION EXPIRING 31-MAR-2015 EX 11C,AU0000AYNAZ1
AYNAM,ALCYONE RES LTD,SEC.RED.CONVERTIBLE NOTE MATURING 26-MAR-2015,AU0000AYNAM9
AYNAQ,ALCYONE RES LTD,CONVERTIBLE NOTE MATURING 24-FEB-2015,AU0000AYNAQ0
LEP,ALE PROPERTY GROUP,ORDINARY/UNITS FULLY PAID STAPLED SECURITIES,AU000000LEP0
AWD,ALEATOR ENERGY LTD,ORDINARY FULLY PAID,AU000000AWD1
AWDDA,ALEATOR ENERGY LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU0000AWDDA3
AWDDB,ALEATOR ENERGY LTD,OPTION EXPIRING 31-JAN-2015 DEFERRED SETTLEMENT,AU0000AWDDB1
AWDO,ALEATOR ENERGY LTD,OPTION EXPIRING 31-JAN-2015,AU00000AWDO7
AJX,ALEXIUM INT GROUP,ORDINARY FULLY PAID,AU000000AJX6
AJXAB,ALEXIUM INT GROUP,PERFORMANCE SHARES,AU0000AJXAB2
AJXAA,ALEXIUM INT GROUP,OPTION EXPIRING 24-JUN-2016 EX 10C,AU0000AJXAA4
AJXAC,ALEXIUM INT GROUP,OPTION EXPIRING 31-AUG-2017 EX 18C,AU0000AJXAC0
AJXAD,ALEXIUM INT GROUP,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AJXAD8
AJXAI,ALEXIUM INT GROUP,OPTION EXPIRING 31-DEC-2016 EX 8C,AU0000AJXAI7
AJXAZ,ALEXIUM INT GROUP,OPTION EXPIRING 31-DEC-2015 EX VARIOUS PRICES,AU0000AJXAZ1
AJXAQ,ALEXIUM INT GROUP,12% UNSEC.RED.CONV.NOTES MATURING 30-MAR-2016,AU0000AJXAQ0
AEB,ALGAE.TEC LIMITED,ORDINARY FULLY PAID,AU000000AEB3
AEBAI,ALGAE.TEC LIMITED,OPTION EXPIRING 20-JAN-2019 EX 16.36C,AU0000AEBAI4
AEBAO,ALGAE.TEC LIMITED,OPTION EXPIRING 14-OCT-2015 EX $1.00,AU0000AEBAO2
AEBAS,ALGAE.TEC LIMITED,OPTION EXPIRING 13-JAN-2016 EX 75C,AU0000AEBAS3
